title,description,image_url,imdb_url,rating,popularity,year
Father Stu(2022),"Follows the life of Father Stuart Long, a boxer-turned-priest who inspired countless people during his journey from self-destruction to redemption.",https://m.media-amazon.com/images/M/MV5BZWM5MWIyY2YtZGZjNS00OTlhLThiMTItNWQ3NWE5ZWRmNjRmXkEyXkFqcGdeQXVyOTY5NDcwMDk@._V1_.jpg,https://www.imdb.com/title/tt14439896/,7.1,27,2022
The Bad Guys(2022),,,https://www.imdb.com/title/tt8115900/,7,19,2022
The Adam Project(2022),"After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self for a mission to save the future.",https://m.media-amazon.com/images/M/MV5BOWM0YWMwMDQtMjE5NS00ZTIwLWE1NWEtODViMWZjMWI2OTU3XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg,https://www.imdb.com/title/tt2463208/,6.7,30,2022
Metal Lords(2022),,,https://www.imdb.com/title/tt12141112/,6.7,17,2022
The Bubble(2022),A group of actors and actresses stuck inside a pandemic bubble at a hotel attempts to complete a film.,https://m.media-amazon.com/images/M/MV5BZWRiMDRkNmItYjkyNi00ZDFmLWFkMWEtNzYxYjk3NDI1YTFkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,https://www.imdb.com/title/tt13610562/,4.7,26,2022
The Outfit(2022),An expert cutter must outwit a dangerous group of mobsters in order to survive a fateful night.,https://m.media-amazon.com/images/M/MV5BZTQyZjMxNTMtZTU5YS00NjgyLWIxMzgtNzM2ZjRlNDZkYmEwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,https://www.imdb.com/title/tt14114802/,7.1,25,2022
RRR(2022),A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in 1920's.,https://m.media-amazon.com/images/M/MV5BODUwNDNjYzctODUxNy00ZTA2LWIyYTEtMDc5Y2E5ZjBmNTMzXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,https://www.imdb.com/title/tt8178634/,8.4,24,2022
The Rum Diary(2011),American journalist Paul Kemp takes on a freelance job in Puerto Rico for a local newspaper during the 1960s and struggles to find a balance between island culture and the expatriates who li...,https://m.media-amazon.com/images/M/MV5BMTM5ODA4MjYxM15BMl5BanBnXkFtZTcwMTM3NTE5Ng@@._V1_.jpg,https://www.imdb.com/title/tt0376136/,6.1,22,2011
CODA(2021),"As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at...",https://m.media-amazon.com/images/M/MV5BYzkyNzNiMDItMGU1Yy00NmEyLWE4N2ItMjkzMDZmMmVhNDU4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,https://www.imdb.com/title/tt10366460/,8,23,2021
Fantastic Beasts and Where to Find Them(2016),The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.,https://m.media-amazon.com/images/M/MV5BMjMxOTM1OTI4MV5BMl5BanBnXkFtZTgwODE5OTYxMDI@._V1_.jpg,https://www.imdb.com/title/tt3183660/,7.2,28,2016
Fantastic Beasts: The Crimes of Grindelwald(2018),"The second installment of the ""Fantastic Beasts"" series featuring the adventures of Magizoologist Newt Scamander.",https://m.media-amazon.com/images/M/MV5BYWVlMDI5N2UtZTIyMC00NjZkLWI5Y2QtODM5NGE5MzA0NmVjXkEyXkFqcGdeQXVyNzU3NjUxMzE@._V1_.jpg,https://www.imdb.com/title/tt4123430/,6.5,21,2018
Morbius(2022),"Biochemist Michael Morbius tries to cure himself of a rare blood disease, but he inadvertently infects himself with a form of vampirism instead.",https://m.media-amazon.com/images/M/MV5BNWExYzEwY2UtZTNhYi00MDRjLTg4YzYtN2QzN2E3MjIwY2Q5XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_.jpg,https://www.imdb.com/title/tt5108870/,5.1,18,2022
